prompt_type,temperature,top_p,top_k,success_rate
simple,0.1,0.9,50,1.0
table_1x1,0.1,0.9,50,1.0
table_1x2,0.1,0.9,50,1.0
table_1x3,0.1,0.9,50,1.0
table_2x1,0.1,0.9,50,1.0
table_2x2,0.1,0.9,50,1.0
table_2x3,0.1,0.9,50,1.0
table_3x1,0.1,0.9,50,1.0
table_3x2,0.1,0.9,50,1.0
table_3x3,0.1,0.9,50,1.0
simple,0.2,0.9,50,1.0
table_1x1,0.2,0.9,50,1.0
table_1x2,0.2,0.9,50,1.0
table_1x3,0.2,0.9,50,1.0
table_2x1,0.2,0.9,50,1.0
table_2x2,0.2,0.9,50,1.0
table_2x3,0.2,0.9,50,1.0
table_3x1,0.2,0.9,50,1.0
table_3x2,0.2,0.9,50,1.0
table_3x3,0.2,0.9,50,1.0
simple,0.3,0.9,50,1.0
table_1x1,0.3,0.9,50,1.0
table_1x2,0.3,0.9,50,1.0
table_1x3,0.3,0.9,50,1.0
table_2x1,0.3,0.9,50,1.0
table_2x2,0.3,0.9,50,1.0
table_2x3,0.3,0.9,50,1.0
table_3x1,0.3,0.9,50,1.0
table_3x2,0.3,0.9,50,1.0
table_3x3,0.3,0.9,50,1.0
simple,0.4,0.9,50,1.0
table_1x1,0.4,0.9,50,1.0
table_1x2,0.4,0.9,50,1.0
table_1x3,0.4,0.9,50,1.0
table_2x1,0.4,0.9,50,1.0
table_2x2,0.4,0.9,50,1.0
table_2x3,0.4,0.9,50,1.0
table_3x1,0.4,0.9,50,1.0
table_3x2,0.4,0.9,50,1.0
table_3x3,0.4,0.9,50,1.0
simple,0.5,0.9,50,1.0
table_1x1,0.5,0.9,50,1.0
table_1x2,0.5,0.9,50,1.0
table_1x3,0.5,0.9,50,1.0
table_2x1,0.5,0.9,50,1.0
table_2x2,0.5,0.9,50,1.0
table_2x3,0.5,0.9,50,1.0
table_3x1,0.5,0.9,50,1.0
table_3x2,0.5,0.9,50,1.0
table_3x3,0.5,0.9,50,1.0
simple,0.6,0.9,50,1.0
table_1x1,0.6,0.9,50,1.0
table_1x2,0.6,0.9,50,1.0
table_1x3,0.6,0.9,50,1.0
table_2x1,0.6,0.9,50,1.0
table_2x2,0.6,0.9,50,1.0
table_2x3,0.6,0.9,50,1.0
table_3x1,0.6,0.9,50,1.0
table_3x2,0.6,0.9,50,0.96875
table_3x3,0.6,0.9,50,1.0
simple,0.7,0.9,50,1.0
table_1x1,0.7,0.9,50,1.0
table_1x2,0.7,0.9,50,1.0
table_1x3,0.7,0.9,50,1.0
table_2x1,0.7,0.9,50,1.0
table_2x2,0.7,0.9,50,1.0
table_2x3,0.7,0.9,50,0.9375
table_3x1,0.7,0.9,50,1.0
table_3x2,0.7,0.9,50,0.90625
table_3x3,0.7,0.9,50,0.84375
simple,0.8,0.9,50,1.0
table_1x1,0.8,0.9,50,1.0
table_1x2,0.8,0.9,50,1.0
table_1x3,0.8,0.9,50,1.0
table_2x1,0.8,0.9,50,1.0
table_2x2,0.8,0.9,50,0.9375
table_2x3,0.8,0.9,50,0.9375
table_3x1,0.8,0.9,50,1.0
table_3x2,0.8,0.9,50,0.75
table_3x3,0.8,0.9,50,0.78125
simple,0.9,0.9,50,1.0
table_1x1,0.9,0.9,50,1.0
table_1x2,0.9,0.9,50,1.0
table_1x3,0.9,0.9,50,1.0
table_2x1,0.9,0.9,50,1.0
table_2x2,0.9,0.9,50,0.875
table_2x3,0.9,0.9,50,0.78125
table_3x1,0.9,0.9,50,1.0
table_3x2,0.9,0.9,50,0.5
table_3x3,0.9,0.9,50,0.875
simple,1.0,0.9,50,1.0
table_1x1,1.0,0.9,50,1.0
table_1x2,1.0,0.9,50,1.0
table_1x3,1.0,0.9,50,1.0
table_2x1,1.0,0.9,50,1.0
table_2x2,1.0,0.9,50,0.78125
table_2x3,1.0,0.9,50,0.78125
table_3x1,1.0,0.9,50,1.0
table_3x2,1.0,0.9,50,0.59375
table_3x3,1.0,0.9,50,0.5625
simple,1.1,0.9,50,1.0
table_1x1,1.1,0.9,50,1.0
